bacterial infections and mycoses,['c01']
"spherocytosis, hereditary","['c15.378.071.141.150.785', 'c16.320.070.785']"
thalassemia,"['c15.378.071.141.150.875', 'c15.378.420.826', 'c16.320.070.875', 'c16.320.365.826']"
alpha-thalassemia,"['c15.378.071.141.150.875.100', 'c15.378.420.826.100', 'c16.320.070.875.100', 'c16.320.365.826.100']"
beta-thalassemia,"['c15.378.071.141.150.875.150', 'c15.378.420.826.150', 'c16.320.070.875.150', 'c16.320.365.826.150']"
delta-thalassemia,"['c15.378.071.141.150.875.575', 'c15.378.420.826.200', 'c16.320.070.875.575', 'c16.320.365.826.575']"
"hemoglobinuria, paroxysmal","['c15.378.071.141.560', 'c15.378.190.625.460']"
"anemia, hypochromic",['c15.378.071.196']
"anemia, iron-deficiency","['c15.378.071.196.300', 'c18.452.565.100']"
"anemia, macrocytic",['c15.378.071.252']
"anemia, megaloblastic",['c15.378.071.252.196']
"anemia, pernicious","['c15.378.071.252.196.500', 'c18.654.521.500.133.699.923.280']"
"anemia, myelophthisic","['c15.378.071.307', 'c15.378.190.636.085']"
"anemia, neonatal","['c15.378.071.363', 'c16.614.053']"
fetofetal transfusion,"['c15.378.071.363.344', 'c16.614.053.344']"
fetomaternal transfusion,"['c15.378.071.363.511', 'c16.614.053.511']"
"anemia, refractory","['c15.378.071.400', 'c15.378.190.625.062']"
"anemia, refractory, with excess of blasts","['c15.378.071.400.080', 'c15.378.190.625.062.080']"
"anemia, sideroblastic","['c15.378.071.419', 'c15.378.190.625.070']"
"red-cell aplasia, pure",['c15.378.071.750']
blood coagulation disorders,['c15.378.100']
"blood coagulation disorders, inherited","['c15.378.100.100', 'c16.320.099']"
activated protein c resistance,"['c15.378.100.100.037', 'c15.378.100.141.036', 'c15.378.925.050', 'c16.320.099.037']"
afibrinogenemia,"['c15.378.100.100.056', 'c15.378.100.141.072', 'c15.378.463.067', 'c16.320.099.056']"
antithrombin iii deficiency,"['c15.378.100.100.075', 'c15.378.147.150', 'c15.378.925.075', 'c16.320.099.075']"
bernard-soulier syndrome,"['c15.378.100.100.080', 'c15.378.140.120', 'c15.378.463.080', 'c16.320.099.080']"
factor v deficiency,"['c15.378.100.100.300', 'c15.378.100.141.300', 'c15.378.463.300', 'c16.320.099.300']"
factor vii deficiency,"['c15.378.100.100.310', 'c15.378.100.141.310', 'c15.378.463.310', 'c16.320.099.310']"
factor x deficiency,"['c15.378.100.100.320', 'c15.378.100.141.320', 'c15.378.463.320', 'c16.320.099.320']"
factor xi deficiency,"['c15.378.100.100.325', 'c15.378.100.141.325', 'c15.378.463.325', 'c16.320.099.325']"
factor xii deficiency,"['c15.378.100.100.330', 'c15.378.100.141.330', 'c15.378.463.330', 'c16.320.099.330']"
factor xiii deficiency,"['c15.378.100.100.335', 'c15.378.100.141.335', 'c15.378.463.335', 'c16.320.099.335']"
hemophilia a,"['c15.378.100.100.500', 'c15.378.100.141.500', 'c15.378.463.500', 'c16.320.099.500']"
hemophilia b,"['c15.378.100.100.510', 'c15.378.100.141.510', 'c15.378.463.510', 'c16.320.099.510', 'c16.320.322.235']"
hypoprothrombinemias,"['c15.378.100.100.550', 'c15.378.100.141.550', 'c15.378.463.550', 'c16.320.099.550']"
protein c deficiency,"['c15.378.100.100.690', 'c15.378.147.880', 'c15.378.925.795', 'c16.320.099.690']"
thrombasthenia,"['c15.378.100.100.820', 'c15.378.140.810', 'c15.378.463.810', 'c16.320.099.820']"
von willebrand diseases,"['c15.378.100.100.900', 'c15.378.100.141.900', 'c15.378.140.900', 'c15.378.463.920', 'c16.320.099.920']"
"von willebrand disease, type 1","['c15.378.100.100.900.100', 'c15.378.100.141.900.100', 'c15.378.463.920.100', 'c16.320.099.920.100']"
"von willebrand disease, type 2","['c15.378.100.100.900.200', 'c15.378.100.141.900.200', 'c15.378.463.920.200', 'c16.320.099.920.200']"
"von willebrand disease, type 3","['c15.378.100.100.900.300', 'c15.378.100.141.900.300', 'c15.378.463.920.300', 'c16.320.099.920.300']"
wiskott-aldrich syndrome,"['c15.378.100.100.970', 'c15.378.463.960', 'c15.378.553.546.605.900', 'c16.320.099.970', 'c16.320.322.937', 'c20.673.627.900', 'c20.673.972']"
coagulation protein disorders,['c15.378.100.141']
disseminated intravascular coagulation,"['c15.378.100.220', 'c15.378.463.250', 'c15.378.925.220']"
ecchymosis,"['c15.378.100.452', 'c23.550.414.625', 'c23.888.885.312']"
platelet storage pool deficiency,"['c15.378.100.685', 'c15.378.140.735', 'c15.378.463.735']"
protein s deficiency,"['c15.378.100.800', 'c15.378.147.890', 'c15.378.925.800']"
purpura,"['c15.378.100.802', 'c23.550.414.950', 'c23.888.885.687']"
purpura fulminans,"['c15.378.100.802.230', 'c23.550.414.950.230', 'c23.888.885.687.230']"
"purpura, thrombocytopenic","['c15.378.100.802.687', 'c15.378.140.855.925.750', 'c20.841', 'c23.550.414.950.687', 'c23.888.885.687.687']"
"purpura, thrombocytopenic, idiopathic","['c15.378.100.802.687.600', 'c15.378.140.855.925.750.600', 'c15.378.463.740', 'c20.111.759', 'c20.841.600', 'c23.550.414.950.687.600', 'c23.888.885.687.687.600']"
"purpura, thrombotic thrombocytopenic","['c15.378.100.802.687.680', 'c15.378.140.855.925.750.680', 'c15.378.925.850', 'c23.550.414.950.687.680', 'c23.888.885.687.687.680']"
"thrombocythemia, essential","['c15.378.100.832', 'c15.378.140.860.800', 'c15.378.190.636.860.800', 'c15.378.463.825']"
vitamin k deficiency,"['c15.378.100.920', 'c15.378.463.841', 'c18.654.521.500.133.912']"
vitamin k deficiency bleeding,"['c15.378.100.920.360', 'c15.378.463.841.464', 'c16.614.940', 'c18.654.422.360', 'c18.654.521.500.133.912.360']"
blood group incompatibility,"['c15.378.120', 'c20.188']"
rh isoimmunization,"['c15.378.120.780', 'c20.188.780']"
blood platelet disorders,['c15.378.140']
gray platelet syndrome,"['c15.378.140.427', 'c16.320.099.417']"
thrombocytopenia,['c15.378.140.855']
jacobsen distal 11q deletion syndrome,"['c15.378.140.855.440', 'c16.131.260.440', 'c16.320.180.440']"
"thrombocytopenia, neonatal alloimmune","['c15.378.140.855.850', 'c16.614.899']"
thrombotic microangiopathies,['c15.378.140.855.925']
thrombocytosis,"['c15.378.140.860', 'c15.378.190.636.860']"
blood protein disorders,['c15.378.147']
agammaglobulinemia,"['c15.378.147.142', 'c15.604.515.032', 'c20.673.088']"
dysgammaglobulinemia,"['c15.378.147.333', 'c20.673.430']"
hyper-igm immunodeficiency syndrome,"['c15.378.147.333.249', 'c20.673.430.249']"
"hyper-igm immunodeficiency syndrome, type 1","['c15.378.147.333.249.500', 'c16.320.322.237', 'c20.673.430.249.500']"
iga deficiency,"['c15.378.147.333.500', 'c20.673.430.500']"
igg deficiency,"['c15.378.147.333.750', 'c20.673.430.750']"
hypergammaglobulinemia,"['c15.378.147.542', 'c20.683.460', 'c23.888.512']"
monoclonal gammopathy of undetermined significance,"['c15.378.147.542.640', 'c20.683.460.640', 'c20.683.780.640']"
hypoproteinemia,['c15.378.147.607']
hypoalbuminemia,['c15.378.147.607.500']
paraproteinemias,"['c15.378.147.780', 'c20.683.780']"
heavy chain disease,"['c15.378.147.780.490', 'c15.604.515.435', 'c20.683.780.490']"
bone marrow diseases,['c15.378.190']
myelodysplastic-myeloproliferative diseases,['c15.378.190.615']
myelodysplastic syndromes,['c15.378.190.625']
myeloproliferative disorders,['c15.378.190.636']
"leukemia, neutrophilic, chronic",['c15.378.190.636.380']
leukemoid reaction,"['c15.378.190.636.484', 'c15.378.553.475.428']"
polycythemia vera,['c15.378.190.636.753']
primary myelofibrosis,['c15.378.190.636.765']
hemoglobinopathies,"['c15.378.420', 'c16.320.365']"
hemorrhagic disorders,['c15.378.463']
leukocyte disorders,['c15.378.553']
eosinophilia,['c15.378.553.231']
angiolymphoid hyperplasia with eosinophilia,"['c15.378.553.231.085', 'c15.604.515.292.007', 'c17.800.060']"
hypereosinophilic syndrome,['c15.378.553.231.549']
leukocytosis,"['c15.378.553.475', 'c23.550.526']"
lymphocytosis,['c15.378.553.475.604']
leukopenia,['c15.378.553.546']
agranulocytosis,['c15.378.553.546.184']
neutropenia,['c15.378.553.546.184.564']
lymphopenia,"['c15.378.553.546.605', 'c20.673.627']"
"t-lymphocytopenia, idiopathic cd4-positive","['c15.378.553.546.605.800', 'c20.673.627.800']"
leukostasis,['c15.378.553.560']
pelger-huet anomaly,"['c15.378.553.696', 'c16.320.784']"
phagocyte bactericidal dysfunction,"['c15.378.553.774', 'c20.673.774']"
chediak-higashi syndrome,"['c15.378.553.774.257', 'c20.673.774.257']"
"granulomatous disease, chronic","['c15.378.553.774.535', 'c16.320.322.233', 'c20.673.774.535']"
job's syndrome,"['c15.378.553.774.600', 'c20.673.774.600']"
methemoglobinemia,['c15.378.619']
pancytopenia,['c15.378.700']
polycythemia,['c15.378.738']
sulfhemoglobinemia,['c15.378.896']
thrombophilia,['c15.378.925']
lymphatic diseases,['c15.604']
histiocytosis,['c15.604.250']
"histiocytosis, non-langerhans-cell",['c15.604.250.410']
erdheim-chester disease,['c15.604.250.410.224']
"histiocytosis, sinus",['c15.604.250.410.450']
"lymphohistiocytosis, hemophagocytic",['c15.604.250.410.575']
"xanthogranuloma, juvenile","['c15.604.250.410.900', 'c17.800.973']"
lymphadenitis,['c15.604.315']
histiocytic necrotizing lymphadenitis,['c15.604.315.300']
lymphangiectasis,['c15.604.360']
"lymphangiectasis, intestinal","['c15.604.360.500', 'c15.604.451.500', 'c16.131.482.500']"
lymphangitis,['c15.604.406']
lymphatic abnormalities,"['c15.604.451', 'c16.131.482']"
lymphedema,['c15.604.496']
elephantiasis,['c15.604.496.320']
lymphoproliferative disorders,"['c15.604.515', 'c20.683.515']"
autoimmune lymphoproliferative syndrome,"['c15.604.515.138', 'c16.320.089', 'c20.111.288', 'c20.683.515.124']"
giant lymph node hyperplasia,"['c15.604.515.245', 'c20.683.515.250']"
granuloma,"['c15.604.515.292', 'c23.550.382']"
necrobiotic xanthogranuloma,"['c15.604.515.292.507', 'c17.300.200.495.772', 'c17.800.550.772', 'c18.452.584.750.487', 'c23.550.382.984']"
immunoblastic lymphadenopathy,"['c15.604.515.509', 'c20.683.515.501']"
sarcoidosis,['c15.604.515.827']
uveoparotid fever,['c15.604.515.827.865']
tumor lysis syndrome,"['c15.604.515.880', 'c20.683.515.950']"
pseudolymphoma,['c15.604.613']
splenic diseases,['c15.604.744']
hypersplenism,['c15.604.744.293']
splenic rupture,"['c15.604.744.742', 'c26.017.680', 'c26.761.555']"
splenosis,"['c15.604.744.742.500', 'c26.017.680.500', 'c26.761.555.500']"
wandering spleen,['c15.604.744.954']
thymus hyperplasia,['c15.604.816']
"congenital, hereditary, and neonatal diseases and abnormalities",['c16']
congenital abnormalities,['c16.131']
"abnormalities, drug-induced",['c16.131.042']
"abnormalities, multiple",['c16.131.077']
beckwith-wiedemann syndrome,"['c16.131.077.133', 'c16.131.260.080', 'c16.320.180.080']"
bloom syndrome,"['c16.131.077.137', 'c18.452.284.100']"
branchio-oto-renal syndrome,"['c16.131.077.208', 'c16.131.260.090', 'c16.320.180.090']"
charge syndrome,"['c16.131.077.239', 'c16.320.165']"
ectodermal dysplasia,"['c16.131.077.350', 'c16.131.831.350', 'c16.320.850.250', 'c17.800.804.350', 'c17.800.827.250']"
"ectodermal dysplasia 1, anhidrotic","['c16.131.077.350.198', 'c16.131.831.350.198', 'c16.320.322.116', 'c16.320.850.250.198', 'c17.800.804.350.198', 'c17.800.827.250.198']"
"ectodermal dysplasia 3, anhidrotic","['c16.131.077.350.298', 'c16.131.831.350.298', 'c16.320.850.250.298', 'c17.800.804.350.298', 'c17.800.827.250.298']"
"ectodermal dysplasia, hypohidrotic, autosomal recessive","['c16.131.077.350.348', 'c16.131.831.350.348', 'c16.320.850.250.348', 'c17.800.804.350.348', 'c17.800.827.250.348']"
incontinentia pigmenti,"['c16.131.077.445', 'c16.131.831.580', 'c16.320.850.420', 'c17.800.621.497', 'c17.800.804.580', 'c17.800.827.420']"
monilethrix,"['c16.131.077.592', 'c16.320.850.647', 'c17.800.329.984', 'c17.800.827.602']"
netherton syndrome,"['c16.131.077.619', 'c16.131.831.512.400.705', 'c16.320.850.400.705', 'c16.320.850.673', 'c16.614.492.400.705', 'c17.800.428.333.250.705', 'c17.800.804.512.400.705', 'c17.800.827.400.705', 'c17.800.827.655']"
prolidase deficiency,"['c16.131.077.735', 'c16.131.831.720', 'c16.320.565.100.794', 'c16.320.850.746']"
prune belly syndrome,['c16.131.077.745']
smith-lemli-opitz syndrome,"['c16.131.077.860', 'c16.320.565.398.850', 'c16.320.565.925.875', 'c18.452.584.500.937', 'c18.452.648.398.850', 'c18.452.648.925.875']"
sotos syndrome,"['c16.131.077.889', 'c16.131.260.905', 'c16.320.180.905']"
trichothiodystrophy syndromes,"['c16.131.077.899', 'c16.131.831.874', 'c16.320.850.895', 'c17.800.804.874', 'c17.800.827.895']"
waardenburg's syndrome,['c16.131.077.938']
wolf-hirschhorn syndrome,"['c16.131.077.944', 'c16.131.260.985', 'c16.320.180.985']"
"abnormalities, radiation-induced","['c16.131.080', 'c26.733.031']"
"abnormalities, severe teratoid",['c16.131.085']
"twins, conjoined",['c16.131.085.806']
chromosome disorders,"['c16.131.260', 'c16.320.180']"
sex chromosome disorders,"['c16.131.260.830', 'c16.320.180.830']"
situs inversus,['c16.131.810']
skin abnormalities,"['c16.131.831', 'c17.800.804']"
acrodermatitis,"['c16.131.831.066', 'c17.800.174.100', 'c17.800.804.066']"
dyskeratosis congenita,"['c16.131.831.150', 'c16.320.322.108', 'c16.320.850.235', 'c17.800.804.150', 'c17.800.827.235']"
pachyonychia congenita,"['c16.131.831.350.856', 'c16.320.850.250.856', 'c17.800.529.594', 'c17.800.804.350.856', 'c17.800.827.250.856']"
epidermolysis bullosa,"['c16.131.831.493', 'c16.320.850.275', 'c17.800.804.493', 'c17.800.827.275', 'c17.800.865.410']"
epidermolysis bullosa acquisita,"['c16.131.831.493.080', 'c17.800.804.493.080', 'c17.800.827.275.080', 'c17.800.865.410.080']"
epidermolysis bullosa dystrophica,"['c16.131.831.493.160', 'c16.320.850.275.160', 'c17.300.200.367', 'c17.800.804.493.160', 'c17.800.827.275.160', 'c17.800.865.410.160']"
"epidermolysis bullosa, junctional","['c16.131.831.493.170', 'c16.320.850.275.170', 'c17.800.804.493.170', 'c17.800.827.275.170', 'c17.800.865.410.170']"
epidermolysis bullosa simplex,"['c16.131.831.493.180', 'c16.320.850.275.180', 'c17.800.804.493.180', 'c17.800.827.275.180', 'c17.800.865.410.180']"
ichthyosis,"['c16.131.831.512', 'c16.614.492', 'c17.800.428.333', 'c17.800.804.512']"
"ichthyosiform erythroderma, congenital","['c16.131.831.512.400', 'c16.320.850.400', 'c16.614.492.400', 'c17.800.428.333.250', 'c17.800.804.512.400', 'c17.800.827.400']"
"hyperkeratosis, epidermolytic","['c16.131.831.512.400.375', 'c16.320.850.400.375', 'c16.614.492.400.375', 'c17.800.428.333.250.375', 'c17.800.804.512.400.375', 'c17.800.827.400.375']"
"ichthyosis, lamellar","['c16.131.831.512.400.410', 'c16.320.850.400.410', 'c16.614.492.400.410', 'c17.800.428.333.250.410', 'c17.800.804.512.400.410', 'c17.800.827.400.410']"
ichthyosis bullosa of siemens,"['c16.131.831.512.408', 'c16.320.850.402', 'c16.614.492.410', 'c17.800.428.333.330', 'c17.800.804.512.405', 'c17.800.827.403']"
ichthyosis vulgaris,"['c16.131.831.512.410', 'c16.320.850.405', 'c17.800.428.333.410', 'c17.800.804.512.410', 'c17.800.827.405']"
"ichthyosis, x-linked","['c16.131.831.512.420', 'c16.320.322.241', 'c16.320.565.925.400', 'c16.320.850.408', 'c16.614.492.420', 'c17.800.428.333.420', 'c17.800.804.512.420', 'c17.800.827.408', 'c18.452.648.925.400']"
sjogren-larsson syndrome,"['c16.131.831.512.723', 'c16.320.565.398.641.723', 'c16.320.850.820', 'c16.614.492.723', 'c17.800.428.333.723', 'c17.800.804.512.723', 'c17.800.827.820', 'c18.452.584.687.723', 'c18.452.648.398.641.723']"
port-wine stain,"['c16.131.831.675', 'c17.800.804.675']"
rothmund-thomson syndrome,"['c16.131.831.775', 'c16.320.850.765', 'c16.614.760', 'c17.800.804.775', 'c17.800.827.775', 'c18.452.284.760']"
sclerema neonatorum,"['c16.131.831.812', 'c16.614.810', 'c17.800.804.812']"
thyroid dysgenesis,"['c16.131.894', 'c19.874.689']"
lingual thyroid,"['c16.131.894.500', 'c19.874.689.500']"
lingual goiter,"['c16.131.894.500.500', 'c19.874.283.802', 'c19.874.689.500.500']"
"genetic diseases, inborn",['c16.320']
piebaldism,"['c16.320.290.040.600', 'c16.320.565.100.102.600', 'c16.320.850.080.600', 'c17.800.621.440.102.600', 'c17.800.827.080.600', 'c18.452.648.100.102.600']"
"genetic diseases, x-linked",['c16.320.322']
glycogen storage disease type viii,"['c16.320.322.217', 'c16.320.565.202.449.620', 'c18.452.648.202.449.620']"
x-linked combined immunodeficiency diseases,"['c16.320.322.968', 'c16.614.815.500', 'c20.673.815.500']"
"genetic diseases, y-linked",['c16.320.338']
hereditary autoinflammatory diseases,"['c16.320.382', 'c17.800.827.368']"
cryopyrin-associated periodic syndromes,"['c16.320.382.500', 'c17.800.827.368.500']"
familial mediterranean fever,['c16.320.382.625']
"hyperthyroxinemia, familial dysalbuminemic","['c16.320.427', 'c19.874.410.249']"
"metabolism, inborn errors","['c16.320.565', 'c18.452.648']"
"amino acid metabolism, inborn errors","['c16.320.565.100', 'c18.452.648.100']"
alkaptonuria,"['c16.320.565.100.187', 'c18.452.648.100.187']"
hyperhomocysteinemia,"['c16.320.565.100.480', 'c18.452.603.378', 'c18.452.648.100.480', 'c18.654.521.500.133.699.418']"
multiple acyl coenzyme a dehydrogenase deficiency,"['c16.320.565.100.614', 'c18.452.648.100.614', 'c18.452.660.612']"
multiple carboxylase deficiency,"['c16.320.565.100.620', 'c16.320.565.202.720', 'c18.452.648.100.620', 'c18.452.648.202.720']"
biotinidase deficiency,"['c16.320.565.100.620.100', 'c16.320.565.202.720.100', 'c18.452.648.100.620.100', 'c18.452.648.202.720.100']"
holocarboxylase synthetase deficiency,"['c16.320.565.100.620.380', 'c16.320.565.202.720.380', 'c18.452.648.100.620.380', 'c18.452.648.202.720.380']"
propionic acidemia,"['c16.320.565.100.823', 'c18.452.648.100.823']"
"amino acid transport disorders, inborn","['c16.320.565.151', 'c18.452.648.151']"
"amyloidosis, familial","['c16.320.565.176', 'c18.452.648.176', 'c18.452.845.500.075']"
"carbohydrate metabolism, inborn errors","['c16.320.565.202', 'c18.452.648.202']"
congenital disorders of glycosylation,"['c16.320.565.202.125', 'c18.452.648.202.125']"
"fructose metabolism, inborn errors","['c16.320.565.202.251', 'c18.452.648.202.251']"
"fructose-1,6-diphosphatase deficiency","['c16.320.565.202.251.221', 'c18.452.648.202.251.221']"
fructose intolerance,"['c16.320.565.202.251.271', 'c18.452.648.202.251.271']"
glycogen storage disease,"['c16.320.565.202.449', 'c18.452.648.202.449']"
glycogen storage disease type i,"['c16.320.565.202.449.448', 'c18.452.648.202.449.448']"
glycogen storage disease type iii,"['c16.320.565.202.449.520', 'c18.452.648.202.449.520']"
